site,date,day,trap,trap.type,indID,species,age,sex,breed,recap,weight,body.lgth,tail.lgth,comments,catnum
GRNCAR,2017-09-05,1,F4,L,830,PEMA,A,F,P,N,21,83,59,NA,NA
GRNCAR,2017-09-05,1,B8,L,827,PEMA,A,F,L,N,16,75,73,NA,NA
GRNCAR,2017-09-06,2,E9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,2017-09-06,2,J9,S,302,PEMA,A,M,T,N,21,79,72,NA,NA
GRNCAR,2017-09-06,2,G8,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,2017-09-06,2,D5,S,761,PEMA,A,M,T,N,16,75,67,NA,NA
GRNCAR,2017-09-06,2,B2,L,KING-008,SOTR,A,NA,NA,N,NA,NA,NA,NA,KING-008
GRNCAR,2017-09-06,2,G2,S,830,PEMA,A,F,P,Y,22,67,57,NA,NA
GRNCAR,2017-09-06,2,F3,S,827,PEMA,A,F,L,Y,16,74,68,NA,NA
GRNCAR,2017-09-06,2,F4,L,759,PEMA,A,M,T,N,15,74,67,NA,NA
GRNCAR,2017-09-07,3,J9,S,842,PEMA,A,M,T,N,18,76,71,NA,NA
GRNCAR,2017-09-07,3,J3,S,761,PEMA,A,M,T,Y,15,77,69,NA,NA
GRNCAR,2017-09-07,3,J6,L,830,PEMA,A,F,P,Y,24,77,57,NA,NA
GRNCAR,2017-09-07,3,B2,L,850,PEMA,A,F,P,N,19,83,65,NA,NA
GRNCAR,2017-09-07,3,J1,S,759,PEMA,A,M,T,Y,18,75,75,NA,NA
GRNDAM,2017-08-29,1,A4,S,CLIP-1,SOTR,A,NA,NA,N,5,NA,56,NA,NA
GRNDAM,2017-08-29,1,A6,S,CLIP-2,SOTR,A,NA,NA,N,5,NA,50,appeared to be in shock after release; but recovered quickly,NA
GRNDAM,2017-08-29,1,A7,L,987,PEMA,A,F,P,N,17,81,75,NA,NA
GRNDAM,2017-08-29,1,A10,S,995,PEMA,A,M,T,N,18,80,70,NA,NA
GRNDAM,2017-08-29,1,B10,L,963,PEMA,A,M,T,N,19,82,75,bald patch behind right rear leg,NA
GRNDAM,2017-08-29,1,B1,S,990,PEMA,A,M,T,N,18,77,70,NA,NA
GRNDAM,2017-08-29,1,C1,L,973,PEMA,A,M,T,N,16,76,62,NA,NA
GRNDAM,2017-08-29,1,D10,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,hole in trap; animal probably escaped,NA
GRNDAM,2017-08-29,1,E1,L,965,PEMA,A,F,N,N,12,75,73,possibly REME,NA
GRNDAM,2017-08-29,1,E8,S,893,PEMA,A,F,P,N,15,77,72,NA,NA
GRNDAM,2017-08-29,1,G10,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,crooked trap; door partially closed; animal probably escaped,NA
GRNDAM,2017-08-29,1,I1,L,183,PEMA,A,M,T,N,16,80,74,slightly scrotal,NA
GRNDAM,2017-08-29,1,I2,S,886,PEMA,A,M,T,N,18,76,68,NA,NA
GRNDAM,2017-08-29,1,I5,L,897,PEMA,A,F,P,N,13,71,58,NA,NA
GRNDAM,2017-08-30,2,B9,S,995,PEMA,A,M,T,Y,17,76,71,NA,NA
GRNDAM,2017-08-30,2,B7,S,987,PEMA,A,F,P,Y,17,82,73,NA,NA
GRNDAM,2017-08-30,2,B5,S,990,PEMA,A,M,T,Y,16,77,72,NA,NA
GRNDAM,2017-08-30,2,C1,L,965,PEMA,A,F,N,Y,13,73,71,NA,NA
GRNDAM,2017-08-30,2,C7,L,974,PEMA,A,M,N,N,16,78,70,NA,NA
GRNDAM,2017-08-30,2,C9,L,963,PEMA,A,M,T,Y,18,83,71,bald patch,NA
GRNDAM,2017-08-30,2,E1,L,183,PEMA,A,M,T,Y,16,76,73,NA,NA
GRNDAM,2017-08-30,2,E5,L,886,PEMA,A,M,T,Y,16,75,69,slightly scrotal,NA
GRNDAM,2017-08-30,2,I4,S,897,PEMA,A,F,P,Y,12,72,59,NA,NA
GRNDAM,2017-08-30,2,G9,L,893,PEMA,A,F,P,Y,18,80,74,NA,NA
GRNDAM,2017-08-30,2,G2,S,838,PEMA,S,M,N,N,14,72,66,NA,NA
GRNDAM,2017-08-30,2,F2,L,973,PEMA,A,M,T,Y,16,74,62,tiny testes,NA
GRNDAM,2017-08-30,2,F7,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNDAM,2017-08-30,2,F9,S,839,PEMA,A,M,T,N,14,82,68,NA,NA
GRNDAM,2017-08-31,3,A1,L,CLIP-3,SOTR,A,NA,NA,N,4,NA,48,NA,NA
GRNDAM,2017-08-31,3,A3,L,991,NEFU,S,M,N,N,155,NA,NA,NA,NA
GRNDAM,2017-08-31,3,A4,S,NA,SPRU,A,NA,NA,Y,NA,NA,53,dead in trap,KING-171
GRNDAM,2017-08-31,3,A6,S,987,PEMA,A,F,P,Y,17,81,75,NA,NA
GRNDAM,2017-08-31,3,A10,S,995,PEMA,A,M,T,Y,18,80,71,NA,NA
GRNDAM,2017-08-31,3,B10,L,963,PEMA,A,M,T,Y,18,80,74,bald patch,NA
GRNDAM,2017-08-31,3,C1,L,990,PEMA,A,M,T,Y,17,79,72,NA,NA
GRNDAM,2017-08-31,3,G10,S,839,PEMA,A,M,T,Y,13,76,67,NA,NA
GRNDAM,2017-08-31,3,E3,L,965,PEMA,S,F,N,Y,12,80,72,NA,NA
GRNDAM,2017-08-31,3,E8,S,893,PEMA,A,F,P,Y,15,79,72,NA,NA
GRNDAM,2017-08-31,3,F9,S,886,PEMA,A,M,T,Y,18,83,66,NA,NA
GRNDAM,2017-08-31,3,I1,L,838,PEMA,A,M,T,Y,15,74,66,NA,NA
GRNDAM,2017-08-31,3,G1,L,183,PEMA,A,M,T,Y,16,84,73,NA,NA
GRNHOU,2017-07-25,1,J6,L,CLIP-4,SOTR,A,M,T,N,5.5,55,45,NA,NA
GRNHOU,2017-07-25,1,H6,L,103,PEMA,A,M,T,N,16,64,58,aggressive,NA
GRNHOU,2017-07-25,1,G10,S,116,PEMA,A,M,T,N,14,NA,NA,escaped after ear tag,NA
GRNHOU,2017-07-25,1,G6,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,2017-07-25,1,G3,L,117,PEMA,S,F,N,N,11,70,69,NA,NA
GRNHOU,2017-07-25,1,G1,L,124,PEMA,A,M,T,N,13,58,60,NA,NA
GRNHOU,2017-07-25,1,F2,L,CLIP-5,SOTR,A,NA,NA,N,5,NA,49,NA,NA
GRNHOU,2017-07-25,1,F9,S,402,PEMA,S,F,N,N,10,62,59,very small,NA
GRNHOU,2017-07-25,1,A2,L,193,PEMA,A,M,N,N,15,80,58,NA,NA
GRNHOU,2017-07-25,1,A4,L,177,NEQU,A,M,T,N,83,NA,NA,NA,NA
GRNHOU,2017-07-25,1,A5,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,not flagged…entire station missing,NA
GRNHOU,2017-07-25,1,A9,L,004,NEQU,A,F,P,N,99,NA,NA,NA,NA
GRNHOU,2017-07-25,1,B5,L,045,PEMA,A,M,N,N,14,70,59,NA,NA
GRNHOU,2017-07-25,1,B9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,2017-07-25,1,C2,L,180,GLSA,A,M,T,N,116,NA,NA,NA,NA
GRNHOU,2017-07-25,1,C3,S,KING-073,SOTR,A,NA,NA,N,NA,NA,48,dead,KING-073
GRNHOU,2017-07-25,1,D10,L,010,PEMA,S,F,N,N,13,69,65,NA,NA
GRNHOU,2017-07-25,1,E3,L,025,PEMA,A,M,N,N,12,67,60,NA,NA
GRNHOU,2017-07-25,1,E5,L,042,PEMA,A,F,N,N,17,85,77,NA,NA
GRNHOU,2017-07-26,2,A1,S,045,PEMA,A,M,N,Y,13,66,56,NA,NA
GRNHOU,2017-07-26,2,A3,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,2017-07-26,2,A4,L,177,NEQU,A,M,T,Y,86,NA,NA,NA,NA
GRNHOU,2017-07-26,2,A9,L,004,NEQU,A,F,P,Y,90,NA,NA,NA,NA
GRNHOU,2017-07-26,2,B3,L,193,PEMA,A,M,T,Y,16,82,58,slightly scrotal,NA
GRNHOU,2017-07-26,2,C6,L,042,PEMA,A,F,N,Y,17,82,74,squeaky,NA
GRNHOU,2017-07-26,2,D2,S,025,PEMA,A,M,N,Y,13,63,59,NA,NA
GRNHOU,2017-07-26,2,I4,S,NA,SPRU,NA,NA,NA,N,NA,NA,NA,escaped,NA
GRNHOU,2017-07-26,2,H7,S,104,PEMA,S,M,N,N,14,63,69,NA,NA
GRNHOU,2017-07-26,2,G8,S,406,PEMA,A,M,T,N,16,62,67,NA,NA
GRNHOU,2017-07-26,2,G1,L,NA,SPRU,A,M,NA,Y,5,NA,49,stinky,NA
GRNHOU,2017-07-27,3,J6,L,CLIP-6,SOTR,A,NA,NA,N,5,NA,48,shrew,NA
GRNHOU,2017-07-27,3,J9,S,114,PEBO,A,F,P,N,17,NA,NA,gray with yellow flanks; escaped,NA
GRNHOU,2017-07-27,3,I2,S,117,PEMA,A,F,N,Y,12,NA,NA,escaped,NA
GRNHOU,2017-07-27,3,H4,L,DAY3-1,PEMA,NA,NA,NA,N,NA,NA,NA,escaped,NA
GRNHOU,2017-07-27,3,H8,L,421,PEMA,A,M,T,N,13,64,58,NA,NA
GRNHOU,2017-07-27,3,G1,L,193,PEMA,A,M,T,Y,16,NA,NA,yellow flanks,NA
GRNHOU,2017-07-27,3,A1,S,025,PEMA,A,M,N,Y,13,70,60,very small,NA
GRNHOU,2017-07-27,3,A2,L,185,PEBO,A,F,N,N,27,91,99,hind foot = 20mm; ear = 18mm; hairy tail,NA
GRNHOU,2017-07-27,3,A3,S,177,NEQU,A,M,T,Y,84,NA,NA,NA,NA
GRNHOU,2017-07-27,3,A8,S,DAY3-2,SOTR,A,NA,NA,N,6,NA,50,NA,NA
GRNHOU,2017-07-27,3,A9,L,004,NEQU,A,F,P,Y,90,NA,NA,NA,NA
GRNHOU,2017-07-27,3,D4,S,180,GLSA,A,M,T,Y,98,NA,NA,NA,NA
GRNHOU,2017-07-27,3,C8,L,402,PEMA,S,F,N,Y,11,67,60,NA,NA
GRNHOU,2017-07-27,3,E5,L,045,PEMA,A,M,N,Y,12,72,57,NA,NA
GRNHOU,2017-07-27,3,D6,S,042,PEMA,A,F,N,Y,16,83,74,NA,NA
GRNKAN,2017-08-01,1,A4,L,123,REME,A,M,T,N,19,NA,NA,all brown,NA
GRNKAN,2017-08-01,1,A8,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-01,1,C10,L,KING-095,SOTR,A,NA,NA,N,NA,NA,51,dead,KING-095
GRNKAN,2017-08-01,1,E9,S,KING-049,PEMA,A,F,P,N,19,77,73,dead,KING-049
GRNKAN,2017-08-01,1,F9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-01,1,I4,L,377,PEBO,A,F,N,N,19,89,94,NA,NA
GRNKAN,2017-08-01,1,J10,S,488,PEMA,A,M,T,N,16,82,63,NA,NA
GRNKAN,2017-08-01,1,H10,S,284,PEMA,A,M,T,N,15,68,70,NA,NA
GRNKAN,2017-08-01,1,J8,S,497,PEBO,A,F,N,N,19,82,95,NA,NA
GRNKAN,2017-08-01,1,J9,L,333,PEBO,A,M,T,N,24,88,101,died during processing,KING-052
GRNKAN,2017-08-02,2,I3,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-02,2,H10,L,488,PEMA,A,M,T,Y,18,80,65,NA,NA
GRNKAN,2017-08-02,2,E1,S,424,REME,A,M,T,N,21,79,67,NA,NA
GRNKAN,2017-08-02,2,E2,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-02,2,E6,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-02,2,C10,L,410,PEMA,A,F,N,N,11,60,63,NA,NA
GRNKAN,2017-08-02,2,J1,L,377,PEBO,A,F,N,Y,19,62,95,NA,NA
GRNKAN,2017-08-02,2,J8,S,497,PEBO,A,F,N,Y,19,75,95,dead,KING-031
GRNKAN,2017-08-02,2,F5,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-03,3,C2,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-03,3,C10,L,496,PEMA,A,M,T,N,16,70,65,NA,NA
GRNKAN,2017-08-03,3,E1,S,492,PEBO,A,M,T,N,18,87,96,NA,NA
GRNKAN,2017-08-03,3,F1,L,292,PEMA,A,F,P,N,18,73,67,NA,NA
GRNKAN,2017-08-03,3,F9,L,393,PEMA,A,M,T,N,16,75,66,NA,NA
GRNKAN,2017-08-03,3,I4,L,377,PEBO,A,F,N,Y,18,72,83,NA,NA
GRNKAN,2017-08-03,3,H7,L,405,PEBO,A,M,T,N,16,71,80,NA,NA
GRNKAN,2017-08-03,3,H10,S,488,PEMA,A,M,T,Y,14,65,70,PEBO or REME,NA
GRNMAS,2017-08-15,1,A6,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,rolled over,NA
GRNMAS,2017-08-15,1,B10,S,673,PEMA,A,M,T,N,17,75,71,NA,NA
GRNMAS,2017-08-15,1,B2,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,tipped on side,NA
GRNMAS,2017-08-15,1,D9,S,280,PEMA,A,M,N,N,15,76,58,NA,NA
GRNMAS,2017-08-15,1,D8,L,657,PEMA,A,F,N,N,13,63,57,NA,NA
GRNMAS,2017-08-15,1,D6,S,KING-101,SOTR,A,F,NA,N,NA,47,47,dead,KING-101
GRNMAS,2017-08-15,1,D5,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,missing bait; no other signs of intrusion,NA
GRNMAS,2017-08-15,1,E1,S,662,PEMA,A,F,N,N,14,80,58,NA,NA
GRNMAS,2017-08-15,1,F8,S,652,GLSA,A,F,N,N,131,NA,NA,NA,NA
GRNMAS,2017-08-15,1,F5,L,664,PEMA,A,M,T,N,16,84,79,NA,NA
GRNMAS,2017-08-15,1,J2,S,803,PEBO,S,M,N,N,18,79,87,very grey,NA
GRNMAS,2017-08-15,1,J3,L,753,PEMA,A,F,N,N,16,78,69,NA,NA
GRNMAS,2017-08-15,1,J4,S,810,OTBE,A,M,T,N,363,NA,NA,NA,NA
GRNMAS,2017-08-15,1,J10,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-15,1,I5,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-15,1,I3,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-15,1,H10,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,possibly because of beetle,NA
GRNMAS,2017-08-15,1,G5,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,possibly because of beetle,NA
GRNMAS,2017-08-15,1,G3,S,752,PEMA,A,M,T,N,15,83,68,NA,NA
GRNMAS,2017-08-16,2,A10,L,826,PEMA,A,M,T,N,15,74,67,NA,NA
GRNMAS,2017-08-16,2,D6,S,657,PEMA,S,F,N,Y,14,75,60,NA,NA
GRNMAS,2017-08-16,2,E10,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-16,2,F5,L,664,PEMA,A,M,T,Y,16,81,79,NA,NA
GRNMAS,2017-08-16,2,F8,S,KING-067,SOTR,S,M,NA,N,NA,NA,NA,NA,KING-067
GRNMAS,2017-08-16,2,J2,S,662,PEMA,S,F,N,Y,16,80,60,NA,NA
GRNMAS,2017-08-16,2,J3,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,knocked over,NA
GRNMAS,2017-08-16,2,J6,S,753,PEMA,S,F,N,Y,15,82,71,NA,NA
GRNMAS,2017-08-16,2,I8,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-16,2,I5,S,847,PEMA,S,F,N,N,18,84,64,NA,NA
GRNMAS,2017-08-16,2,I3,S,803,PEBO,A,M,T,Y,17,83,91,NA,NA
GRNMAS,2017-08-16,2,I1,S,705,PETR,A,F,P,N,23,100,97,NA,NA
GRNMAS,2017-08-16,2,H7,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-16,2,H9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-16,2,H10,S,845,PEMA,S,M,N,N,14,75,64,NA,NA
GRNMAS,2017-08-16,2,G5,S,280,PEMA,S,M,N,Y,17,77,64,NA,NA
GRNMAS,2017-08-16,2,G3,S,752,PEMA,A,M,T,Y,15,77,69,NA,NA
GRNMAS,2017-08-16,2,B5,L,673,PEMA,A,M,T,Y,19,85,76,NA,NA
GRNMAS,2017-08-17,3,C10,L,KING-096,SOTR,A,M,NA,N,6,NA,NA,died; possibly testicular (stinky),KING-096
GRNMAS,2017-08-17,3,F8,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,2017-08-17,3,I2,L,752,PEMA,A,M,T,Y,17,76,71,NA,NA
GRNMAS,2017-08-17,3,H2,S,753,PEMA,S,F,N,Y,17,82,71,NA,NA
GRNMAS,2017-08-17,3,G5,S,829,PEMA,S,F,N,N,10,73,56,NA,NA
GRNMAS,2017-08-17,3,F5,L,280,PEMA,S,M,N,Y,17,80,63,NA,NA
GRNMAS,2017-08-17,3,E3,S,662,PEMA,S,F,N,Y,15,75,55,very still,NA
GRNMAS,2017-08-17,3,J1,L,KING-076,SOTR,A,NA,NA,N,NA,NA,NA,kind of smelly,KING-076
GRNMAS,2017-08-17,3,B8,L,657,PEMA,S,F,N,Y,15,73,58,NA,NA
GRNMAS,2017-08-17,3,B4,S,673,PEMA,A,M,T,Y,18,83,70,NA,NA
GRNMAS,2017-08-17,3,D8,L,803,PEBO,A,M,T,Y,16,80,90,NA,NA
GRNMAS,2017-08-17,3,F10,S,755,PEMA,S,M,N,N,13,74,67,NA,NA
GRNMAS,2017-08-17,3,E2,L,664,PEMA,A,M,T,Y,18,85,75,NA,NA
GRNQUA,2017-08-08,1,J1,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,Trap half open; replaced,NA
GRNQUA,2017-08-08,1,J8,S,448,PEMA,A,F,P,N,14,72,63,2 small holes in left ear; very large ears,NA
GRNQUA,2017-08-08,1,J10,S,169,PEMA,A,M,T,N,20,78,79,NA,NA
GRNQUA,2017-08-08,1,I3,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,treadle stuck open,NA
GRNQUA,2017-08-08,1,H3,L,317,PEMA,A,F,P,N,27,81,72,NA,NA
GRNQUA,2017-08-08,1,G1,S,243,PEMA,A,M,T,N,18,80,62,NA,NA
GRNQUA,2017-08-08,1,D4,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-08,1,D8,S,378,PEMA,A,F,P,N,14,70,60,NA,NA
GRNQUA,2017-08-08,1,F5,L,289,PEMA,A,M,T,N,21,70,65,NA,NA
GRNQUA,2017-08-08,1,G9,S,282,PEMA,A,M,T,N,19,65,60,NA,NA
GRNQUA,2017-08-08,1,A5,S,086,PEMA,S,M,N,N,17,67,57,NA,NA
GRNQUA,2017-08-08,1,C1,S,339,PEMA,A,M,T,N,18,64,66,NA,NA
GRNQUA,2017-08-08,1,C3,S,211,PEMA,S,M,N,N,15,58,60,NA,NA
GRNQUA,2017-08-08,1,C9,S,KING-034,SOTR,NA,NA,NA,N,NA,NA,NA,dead,KING-034
GRNQUA,2017-08-08,1,G10,L,080,PEMA,A,F,P,N,26,68,65,NA,NA
GRNQUA,2017-08-08,1,G3,S,214,PEMA,A,M,T,N,27,69,64,NA,NA
GRNQUA,2017-08-09,2,A1,S,339,PEMA,A,M,T,Y,22,71,64,NA,NA
GRNQUA,2017-08-09,2,A7,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-09,2,B1,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-09,2,C5,S,086,PEMA,A,M,T,Y,15,72,56,NA,NA
GRNQUA,2017-08-09,2,C9,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-09,2,D8,S,282,PEMA,A,M,T,Y,17,73,64,NA,NA
GRNQUA,2017-08-09,2,D3,L,211,PEMA,S,M,N,Y,8,72,55,NA,NA
GRNQUA,2017-08-09,2,E10,L,KING-014,SOTR,A,F,N,N,NA,NA,NA,dead,KING-014
GRNQUA,2017-08-09,2,F4,S,317,PEMA,A,F,P,Y,25,89,79,NA,NA
GRNQUA,2017-08-09,2,J1,L,214,PEMA,A,M,T,Y,23,65,60,NA,NA
GRNQUA,2017-08-09,2,J9,L,448,PEMA,A,F,P,Y,15,NA,NA,escaped,NA
GRNQUA,2017-08-09,2,I1,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-09,2,H6,S,378,PEMA,A,F,P,Y,18,65,61,NA,NA
GRNQUA,2017-08-09,2,G10,L,080,PEMA,A,F,P,Y,21,70,60,NA,NA
GRNQUA,2017-08-09,2,G8,L,289,PEMA,A,M,T,Y,18,68,65,NA,NA
GRNQUA,2017-08-09,2,G1,S,243,PEMA,A,M,T,Y,14,66,61,NA,NA
GRNQUA,2017-08-10,3,A4,L,238,PEMA,A,F,P,N,20,81,60,NA,NA
GRNQUA,2017-08-10,3,B4,S,086,PEMA,A,M,T,Y,18,70,59,NA,NA
GRNQUA,2017-08-10,3,B2,S,339,PEMA,A,M,T,Y,17,70,68,huge ears,NA
GRNQUA,2017-08-10,3,C10,L,KING-079,SOTR,A,F,L,N,NA,NA,NA,dead; looks like recap; maybe from GRNSNO?,KING-079
GRNQUA,2017-08-10,3,C1,S,314,PEMA,A,M,T,N,16,69,60,NA,NA
GRNQUA,2017-08-10,3,D2,S,290,PEMA,A,F,P,N,16,63,55,NA,NA
GRNQUA,2017-08-10,3,D3,L,211,PEMA,A,M,N,Y,14,62,57,NA,NA
GRNQUA,2017-08-10,3,E8,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-10,3,F2,S,KING-003,SOTR,A,NA,NA,N,5,55,46,dead,KING-003
GRNQUA,2017-08-10,3,F9,L,282,PEMA,A,M,T,Y,18,68,64,NA,NA
GRNQUA,2017-08-10,3,G10,L,080,PEMA,A,F,P,Y,23,65,61,NA,NA
GRNQUA,2017-08-10,3,G6,L,378,PEMA,A,F,P,Y,15,70,62,NA,NA
GRNQUA,2017-08-10,3,J1,L,704,PEMA,A,M,T,N,22,89,69,could be recap; had holes in left ear where tag would be,NA
GRNQUA,2017-08-10,3,J9,L,448,PEMA,A,F,P,Y,14,74,64,NA,NA
GRNQUA,2017-08-10,3,J3,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNQUA,2017-08-10,3,H9,L,169,PEMA,A,M,T,Y,22,84,76,NA,NA
GRNQUA,2017-08-10,3,H6,S,289,PEMA,A,M,T,Y,18,86,68,NA,NA
GRNQUA,2017-08-10,3,I2,L,214,PEMA,A,M,T,Y,20,82,58,NA,NA
GRNQUA,2017-08-10,3,G1,S,243,PEMA,A,M,T,Y,16,66,56,dead in trap; no fluff and trap in shaded area --> hypothermia? Could possibly not have been checked yesterday. Hard to stretch body to measure body length.,KING-087
GRNQUA,2017-08-10,3,G3,S,317,PEMA,A,F,P,Y,24,92,77,NA,NA
GRNSNO,2017-07-18,1,F2,L,011,PEMA,A,M,T,N,16,75,73,NA,NA
GRNSNO,2017-07-18,1,G3,L,197,PEMA,A,F,P,N,21,85,66,NA,NA
GRNSNO,2017-07-18,1,G10,S,191,PEMA,A,M,T,N,18,80,70,NA,NA
GRNSNO,2017-07-18,1,H7,S,CLIP-7,SOTR,A,NA,NA,N,6,NA,49,butt clipped,NA
GRNSNO,2017-07-18,1,H6,L,182,PEMA,A,M,T,N,19,85,68,NA,NA
GRNSNO,2017-07-18,1,J3,S,348,PEMA,A,M,T,N,15,79,66,NA,NA
GRNSNO,2017-07-18,1,J4,L,332,PEMA,A,M,T,N,8,76,59,NA,NA
GRNSNO,2017-07-18,1,J5,S,327,PEMA,A,F,P,N,23,77,71,NA,NA
GRNSNO,2017-07-18,1,J10,L,281,PEMA,S,F,N,N,14,72,62,NA,NA
GRNSNO,2017-07-18,1,I7,L,388,PEMA,A,M,T,N,18,74,70,NA,NA
GRNSNO,2017-07-18,1,I4,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-18,1,I2,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-18,1,H1,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-18,1,H3,S,489,PEMA,A,F,P,N,10,71,66,NA,NA
