site,severity,avg_pixel,dist_to_edge,tree_bm,shrub_bm,grass_bm,forb_bm,tree_density,tree_survival,veg_cover,litter_cover,cwd_volume,tree_H,shrub_H,forb_H,fire_score,biomass_score,diversity_score
GRNCAR,unb,0,-3723.644574667105,34.99840139622667,312.63068094,0,0,0.04933333333333333,0.5945945945945946,6.25,95.3,0.545604068297721,0.829125615014157,0,0,0.19400517373182677,-1.5340181002512217,-2.050420493638429
GRNDAM,unb,0,-371.3489783940457,52.46522572870667,0,0.20988618335,8.270503807299999,0.042666666666666665,0.734375,10.615384615384615,98.5,0.4842274659284467,1.7143045696276773,0,0,1.6437877108469356,3.4373470027250104,0.23721142562296896
GRNHOU,unb,0,-557.5164217729651,74.66858609939334,0,3.6205366623,11.832660003600001,0.07,0.8,9.076923076923077,94.75,0.44567432373669136,1.0832039566414533,0,1.3862943611198906,-2.38874495481425,-1.1565512755482934,-1.7835640525887166
GRNKAN,unb,0,-4770.413861931034,25.90328808468,1178.1321483072202,1.7630439399,11.0964608973,0.03,1,9.75,97.6,0,0.6869615765973234,1.1499171377909299,1.5229550675313184,0.8664210270479543,-0.5040069146023431,-0.5360650761421379
GRNMAS,unb,0,-1053.7567150116936,18.575223741366667,2304.705232814,5.047762709000001,64.2721975769,0.044,0.9393939393939394,34.166666666666664,87.6,0.23378625425080418,1.1652652343888308,0.7175045098358934,1.0397207708399179,-1.521902818550672,-1.572711199095044,-2.56091810677865
GRNQUA,unb,0.3903345724907063,-113.38164783920669,30.63298084763333,2875.81977105,0.50372684,29.9909624915,0.036,0.7962962962962963,37.78947368421053,89.26315789473684,0.5567073732489467,0.11045304667259806,1.3118105343807827,0.9743147528693494,1.2013474372393862,0.9336640264617517,1.5057771083552411
GRNSNO,unb,1.4452554744525548,-102.53350419134514,26.57805975634667,2482.5916331092,9.33993515835,91.85729038865,0.027333333333333334,1,43.68421052631579,97.4,0.08173266144652125,0.74632053979767,0.8343682725599781,1.9915093613566137,2.1862773121063337,0.6126986753938405,1.2791402421255167
GRNTUR,unb,0.40074906367041196,-165.57968131258855,27.362853761079997,621.3775394940001,0,5.78112473915,0.036,0.7777777777777778,11.083333333333334,87.2,0.3115093889093829,0.9989405268004004,0.9002560512685369,0.6931471805599453,-1.6813588309482599,-1.9792387975521284,-0.7263172319523815
GRNWOO,unb,0,-2133.2621941070206,20.81140744244,0,1.98342443245,2.51908688335,0.026,0.6153846153846154,7.352941176470588,93.85,0.4526138893312073,1.451700379090459,0,1.0042424730540764,0.5251151190184566,-0.29398329944545776,0.23619024104616754
MIXBUS,mod,2.0256410256410255,245.69607351614343,57.195091053666665,5.283330339400001,0.4092780575,31.684540616049997,0.040666666666666663,0.2459016393442623,6,93.25,0.41328968429561685,1.5292482930376914,0,0.37677016125643675,-1.284356150832011,0.32994359835861514,1.025910237982438
MIXBUT,mod,2.773381294964029,689.5426904299675,4.866590493666666,0,0.1574146375,15.5315183357,0.04666666666666667,0.08571428571428572,12.125,90.25,0.13570706051497866,0,0,0.5623351446188083,1.7906871171905745,0.5529995478308738,1.264301478085696
MIXDP2,mod,3.3511904761904763,762.551693593657,7.504899938046667,631.91777209664,1.9309528864499999,25.3338013085,0.048,0.4722222222222222,32.578947368421055,81.15,0.2128133448984893,0.7380595340778923,1.2569355651621956,0.6365141682948128,0.7318131787998423,1.118314556112761,1.3379211321144453
MIXMID,mod,2.1510791366906474,631.195671412092,19.312691873633334,914.519880749066,1.23832848185,16.0131305129,0.018666666666666668,0.8214285714285714,11.421052631578947,76.9,0,1.7905117135801474,0.385160959178018,0.5623351446188083,0.1526749587150092,-1.1960404041977533,-1.1243927219019696
MIXMIX,mod,2.003690036900369,1385.5687597149351,50.32258062373334,300.15714160680005,2.4661626542,7.8807675465000004,0.014,0.7619047619047619,8.35,89.7,0.17271807701906378,1.0373923246209082,1.3832530952696531,1.4270610433807247,-1.3679146042256933,-0.8687536542929373,-0.3242337660068536
MIXMOR,mod,1.7610294117647058,318.5583310191694,12.706782802,3385.1764227355998,78.9486878542,9.64877366895,0.015333333333333332,0.5217391304347826,30.27777777777778,70.5,0.1859803579330276,0.30463609734923813,0.6138600648777941,0.37677016125643675,-1.9084490387253015,-0.8960145746074366,-1.4027880675389917
MIXRAV,mod,2.550724637681159,514.6202245182793,8.092048175333334,1904.3706059377998,2.3087480165,205.97762972405,0.024666666666666667,0.08108108108108109,25.1,94.4,0.8188687401528827,1.0986122886681096,1.797226313416125,1.543029319260004,-0.4013843695740885,-1.2773911222544334,-2.3106859589965874
MIXRIV,mod,2.454873646209386,410.9195389554165,44.48646679013333,0,0,43.96945421355,0.04,0.4166666666666667,9.05,83.75,0.6723667998242124,1.5905606428318713,0,1.4377014436429414,2.155196275668353,0.4186271574757322,1.3922330014554354
MIXWAT,mod,1.8925925925925926,160.2105452371079,50.8032498918,0,20.25401669,0.3995140578,0.05,0.5866666666666667,5.7894736842105265,64.85,0.4348794439229998,1.4293633259427214,0,0,1.640980064947634,-0.33289799776215834,1.8881396953080334
HIBADR,high,3.989010989010989,1253.2657149149707,0,6471.2772858598,8.17506684085,331.98048072890003,0.059333333333333335,0,53.1578947368421,23.95,0.414831809983287,0,0.3858308127257932,0.9502705392332347,1.572449957299062,0.034835185155467185,0.6899040846611462
HICAMP,high,3.452205882352941,517.8066015198754,0,75.42515732129999,29.0587420855,165.2037242769,0.029333333333333333,0,28.575,21.35,0.2752694352491329,0,1.2394967485779316,1.3296613488547582,1.7418491026745324,0.5963293132008919,0.2595588321523367
HICORN,high,3.9711191335740073,2960.220650402743,0,3672.2298919634,0,7.109824339499999,0.016,0,47.4,49.95,0.42254243842163813,0,1.1036670232317938,1.242453324894,-3.3405565323806026,-0.6183110104148735,0.9846730273662926
HICOWS,high,4,1018.5146367615249,0,1732.6067425200001,0.25186342,3.637000055,0.03666666666666667,0,45.1578947368421,12.05,0.29454600634501055,0,1.139851308142993,0.5623351446188083,-0.5068281562901051,-0.531775440167968,-1.6942114508377395
HIDODD,high,3.9782608695652173,1570.769100148736,0,2815.7497051916002,0,46.91718437515,0.03333333333333333,0,41.3,18.95,0.14341768895332974,0,0.7929182764787529,0.5004024235381879,-2.0525001548396262,0.22533003620096148,-0.3467631005806187
HISHRU,high,3.9927007299270074,2253.8132616203816,0,8974.224736468,18.889756499999997,374.9211721494,0.056,0,90.7,78.05,0.6153081493804148,0,0.327050780154245,1.9273921261392744,1.9672069365234293,4.574884518072663,1.0764557565637802
HISQUE,high,3.888888888888889,1828.9585186036888,0,3026.54326516682,0,28.97895509,0.05,0,37.3,17.95,0.21281334489848927,0,1.4781703049617358,0.7902679680745903,-0.23025343426378247,-1.4074851429891677,0.8393263515473985
HITEDD,high,3.9525547445255476,2885.753668844198,0,2762.0463698168,0,19.04239062915,0.018666666666666668,0,54,13.68421052631579,0,0,1.1145660984393695,1.3522093992338282,-1.3831969175095644,-0.1381896043987817,1.1583591377662068
HIWALK,high,3.9926739926739927,1240.1792118551675,0,458.78206602759997,0.26235772915,3.78539395675,0.02666666666666667,0,31.526315789473685,25.1,0.65386129157217,0,1.669887484204583,1.242453324894,-0.30236540885537494,1.472394920591431,-0.31474172519002686
