block,severity,site,transect,veg_cover,shrub_cover,grass_cover,forb_cover,loose_cover,rooted_cover,live_tree_density,cwd_volume,shrub_H,forb_H,tree_survival
belt,unb,GRNHOU,1,1.4,0,0,0,99.8,0,826.6666666666666,4.071211815449361e-4,0,0,0.8493150684931506
belt,unb,GRNHOU,2,10.4,0,2.1,3.4,89.4,0.3,293.3333333333333,3.059577364337701e-4,0,1.3862943611198906,0.6875
belt,unb,GRNMAS,1,25.8,4,2.1,18.1,85.5,0.1,720,0,0,0.6365141682948128,1
belt,unb,GRNMAS,2,35.7,24.1,0.1,0.3,89.2,0.4,106.66666666666666,1.8702900340064336e-4,0.3669249912727096,0,0.6666666666666666
belt,unb,GRNTUR,1,2.2,1.8,0,0,87.7,0.2,240,4.317951925476595e-4,0.796311640173813,0,0.8571428571428571
belt,unb,GRNTUR,2,11.1,0,0,4.4,86.5,0,320,6.661982970735318e-5,0,0.6931471805599453,0.7272727272727273
dp,unb,GRNCAR,1,6.5,4.6,0,0,93.7,0.9,373.33333333333337,2.7215434136003907e-4,0,0,0.8
dp,unb,GRNCAR,2,1,0.1,0,0,96,0,213.33333333333331,6.008121679163147e-4,0,0,0.41025641025641024
dp,unb,GRNKAN,1,15.4,1.6,0.5,2.1,94.8,1.3,293.3333333333333,0,1.0579054247036734,0.6365141682948128,1
dp,unb,GRNKAN,2,4.1,0.3,0.8,3,96.3,2.8,306.66666666666663,0,0.5623351446188083,1.3296613488547582,1
dp,unb,GRNWOO,1,8.7,1.3,0.6,0.7,90.7,0,133.33333333333334,3.466698545882638e-4,0,0.5623351446188083,0.5263157894736842
dp,unb,GRNWOO,2,3.8,0.1,0.2,0.4,97,0,186.66666666666669,3.7751236834166797e-4,0,0.6365141682948128,0.7
hm,unb,GRNDAM,1,8.3,0.4,0.1,0.8,96.4,0,306.66666666666663,5.193879316073275e-4,0,0,0.8214285714285714
hm,unb,GRNDAM,2,5.5,0,0,0.5,100.3,0.3,320,2.5537601387818715e-4,0,0,0.6666666666666666
hm,unb,GRNQUA,1,47,30,0.2,5.9,75.6,0,293.3333333333333,2.6524561827927646e-4,0.9179653278512647,0.8675632284814612,1
hm,unb,GRNQUA,2,24.8,23.4,0,1.2,94,0,280,6.254861789190382e-4,1.2319968023062033,0,0.65625
hm,unb,GRNSNO,1,63.4,34.5,2.1,16.8,86.1,8.7,160,6.5386129157217e-5,0.9477874724636874,1.6957425341696346,1
hm,unb,GRNSNO,2,19.6,12.4,0,1.1,100,0,386.6666666666667,0,0.5297061990576545,0.6365141682948128,1
belt,mod,MIXBUS,1,8.7,0.6,0.1,5.8,80.9,9.6,80,3.306317474364935e-4,0,0.37677016125643675,0.375
belt,mod,MIXBUS,2,2.7,0,0.1,0.1,95,1,120,0,0,0,0.2
belt,mod,MIXMIX,1,11.4,7.7,0.6,0.8,90.5,0,80,0,1.5047882836811908,0.6931471805599453,0.6666666666666666
belt,mod,MIXMIX,2,5.3,1,0.4,2.1,88.9,0,133.33333333333334,1.3817446161525104e-4,0.5297061990576545,1.3321790402101223,0.8333333333333334
belt,mod,MIXMOR,1,36.6,23.5,9.6,3.4,67.9,3.8,53.33333333333333,0,0.608556885905289,0.45056120886630463,0.3076923076923077
belt,mod,MIXMOR,2,17.9,10.2,4.3,2.9,61.3,8,106.66666666666666,1.487842863464221e-4,0.6236548495681085,0,0.8
dp,mod,MIXDP2,1,44.9,35.5,0.1,8.4,68.9,1.5,26.666666666666664,1.8012028031988078e-4,0.7709836777271106,0,0.09523809523809523
dp,mod,MIXDP2,2,17,14.2,1.6,1,78.6,13.3,426.66666666666663,1.6038107151770207e-4,1.327362863420189,0,0.6274509803921569
dp,mod,MIXMID,1,14.1,9,0.1,3.6,81.5,13,106.66666666666666,0,0.24676342377084465,0,0.8
dp,mod,MIXMID,2,7.6,3.2,0.1,0.6,58.6,0.7,200,0,0.6627104473303808,0.6931471805599453,0.8333333333333334
dp,mod,MIXRAV,1,36.7,19.3,0.8,15.3,78.3,11.3,13.333333333333332,6.168502750680849e-4,1.7473269834645715,1.2798542258336676,0.05263157894736842
dp,mod,MIXRAV,2,13.5,4.9,0.6,7.5,94.3,4.9,26.666666666666664,6.933397091765275e-4,1.2745331282587355,1.5047882836811908,0.1111111111111111
hm,mod,MIXBUT,1,17,0.6,0,11.7,75.4,8.9,66.66666666666667,0,0,0,0.11627906976744186
hm,mod,MIXBUT,2,2.4,0.4,0.1,0.4,94.8,1.4,13.333333333333332,1.0856564841198294e-4,0,0,0.037037037037037035
hm,mod,MIXRIV,1,14.6,0.3,0,12.2,70.6,0,120,4.762084123525616e-4,0,1.4941751382893083,0.4090909090909091
hm,mod,MIXRIV,2,3.5,0.8,0,1.4,96.8,0.1,213.33333333333331,5.995784673661784e-4,0,0.8675632284814612,0.42105263157894735
hm,mod,MIXWAT,1,5.8,1.4,2.4,0,59.3,0.7,360,0,0,0,0.6
hm,mod,MIXWAT,2,5.2,0.7,2.7,0.2,69.2,0.5,226.66666666666669,3.4790355513839987e-4,0,0,0.5666666666666667
belt,high,HICORN,1,49.8,48.5,0,1.3,56.3,1.2,0,3.380339507373105e-4,1.1574916778562077,0.9502705392332347,0
belt,high,HICORN,2,45,44.9,0,0.1,42.3,0.1,0,0,1.0535228696998349,0,0
belt,high,HIDODD,1,50.2,36.9,0,8.7,9.4,3.9,0,1.147341511626638e-4,0.817781039992626,0.5623351446188083,0
belt,high,HIDODD,2,32.4,31.2,0,1.2,18.6,6,0,0,0.7296813477242291,0,0
belt,high,HITEDD,1,36.7,32.7,0,4,4.3,3.4,0,0,1.0428917955726014,0.6730116670092565,0
belt,high,HITEDD,2,65.9,61.6,0,4.3,14.9,3.4,0,0,1.1499480282839623,1.5498260458782016,0
dp,high,HICOWS,1,43.7,43,0,0.1,18.9,1,0,2.097290935231489e-4,1.306844255557513,0,0
dp,high,HICOWS,2,42.1,38.7,0.6,2.8,3.6,0.6,0,2.61544516628868e-4,0.7381083693231677,0.6365141682948128,0
dp,high,HISQUE,1,36.3,30.5,0,2,3.3,1.6,0,0,1.4621988007341549,0.6365141682948128,0
dp,high,HISQUE,2,38.3,27.5,0,6.6,26.2,4.8,0,1.7025067591879144e-4,1.1824301338478784,0.796311640173813,0
dp,high,HIWALK,1,15,11.8,0.1,0,26.7,0,0,5.428282420599147e-4,1.6272453751586817,0,0
dp,high,HIWALK,2,44.9,36.9,0.1,1.9,21.5,2,0,5.033498244555574e-4,1.2206072645530175,1.242453324894,0
hm,high,HIBADR,1,39.4,37,1.8,0.6,8,2.6,0,3.318654479866296e-4,0.5506572658128802,0,0
hm,high,HIBADR,2,61.6,50,0,9.5,33.5,3.8,0,0,0,0.9502705392332347,0
hm,high,HICAMP,1,23.35,5.9,2.1,15.05,18,13.4,0,2.6894671992968504e-4,0.6108643020548935,0,0
hm,high,HICAMP,2,33.8,6.5,5.7,19.7,10.5,0.8,0,1.714843764689276e-4,0.9002560512685369,1.3296613488547582,0
hm,high,HISHRU,1,92.2,68.2,0,17.1,37.8,39.9,0,0,0,1.4270610433807247,0
hm,high,HISHRU,2,89.2,54.4,3,31.8,30.7,47.7,0,4.922465195043319e-4,0.5421350200808047,1.4750763110546947,0
